-8,1,-15,-6,-9,-4,-5,-5
0,-22,-17,-14,-10,-1,-5,-2
-4,-46,12,-5,-12,-8,-7,-2
2,5,-26,-10,2,0,-6,-2
0,-4,-1,3,5,6,2,1
6,17,-16,-20,-6,10,0,2
-8,-19,72,6,13,-8,9,1
-4,-13,-22,-2,0,2,6,-1
-4,-30,-8,-13,-7,-3,-9,-6
-4,-7,28,-3,-4,-2,-3,0
-1,10,25,20,-4,0,-8,-3
-4,1,9,1,-2,-2,1,-1
5,13,-42,0,5,3,6,3
4,20,-78,5,8,4,3,1
-6,5,-58,-13,-1,-9,-3,-5
3,1,-7,7,0,1,3,3
2,2,20,-1,-4,0,-2,-1
-12,1,-34,-11,-6,-6,-1,-6
6,54,45,9,-1,7,1,2
-6,-5,-44,-8,-9,-8,-12,-6
1,-22,5,-7,5,4,4,0
0,11,-33,-8,-11,-12,-15,-5
-7,-27,-11,-13,-3,-4,2,-3
-3,-21,47,-3,-2,-5,-2,-4
0,0,0,1,-3,2,-5,1
-5,-25,47,3,-5,-11,-10,-4
1,-15,-6,-6,-2,4,-1,0
6,20,9,10,6,6,4,3
-5,-17,72,5,0,-2,2,-4
1,7,1,1,6,-1,3,2
0,12,-20,-2,0,1,1,2
6,12,-70,-7,4,6,3,1
-6,-27,32,7,-5,-5,-4,-4
-3,-2,48,4,7,6,8,4
2,-18,-53,-17,-3,-13,-6,-1
2,42,5,2,7,9,6,1
-3,-30,-8,8,-3,-6,-5,-2
-2,19,-8,-5,1,6,5,3
0,-19,-7,-1,-3,2,-2,-2
-8,-79,7,-18,-10,-14,-10,-4
-3,-19,-19,-4,-2,-6,-4,-1
8,14,50,11,4,5,7,1
-7,3,-55,-6,-5,-18,-7,-5
-4,-9,4,-5,-1,-1,-3,-1
-2,28,31,-5,4,5,3,0
-2,-14,-21,3,1,-1,0,0
4,7,-6,-7,-5,2,-4,-3
-4,-14,-17,5,-2,-4,3,-1
0,-9,-2,-16,-3,-4,-4,-2
1,14,28,-1,-3,-2,-5,-3
-15,-24,95,2,2,2,6,-2
-2,47,20,5,-2,-3,-4,-2
-2,-5,-51,-4,-3,4,0,-1
2,21,28,5,3,-1,7,2
1,-9,37,0,-1,4,-1,0
-2,5,38,9,-2,-1,-1,0
-7,-9,26,2,-1,-4,0,-6
-1,-12,4,7,2,-3,-1,1
-12,-33,32,-7,-1,2,-3,-3
1,6,15,2,-3,-13,-6,1
8,34,-34,-6,2,3,3,4
-4,16,-19,-4,-2,1,-3,-4
12,40,39,22,18,16,15,5
-12,31,6,-19,-9,-12,-8,-8
2,5,1,-1,2,3,1,2
-1,-14,-7,-4,-6,-3,-1,-2
4,18,-23,3,-3,2,-1,2
1,-6,-20,-7,-3,2,-3,-2
2,7,-7,-8,-10,-10,-10,-2
-3,7,9,1,2,1,4,2
4,15,-14,9,0,2,1,1
3,-27,-39,-2,-8,-3,-6,-2
0,10,-4,-1,1,-3,-1,-3
2,-21,-14,3,-1,-1,-2,-1
-4,-13,11,0,-4,-8,-6,-4
4,18,-47,-9,-9,2,-8,-1
-15,-21,3,32,0,-7,0,-1
2,-1,-4,-8,-3,-1,-6,-2
4,16,-19,-3,-4,2,-4,0
3,4,-20,7,9,10,9,3
11,35,-12,4,0,8,-8,0
-2,14,44,12,5,-1,6,4
2,14,-3,-1,-2,0,-7,0
1,-5,25,6,8,3,6,3
-5,14,42,-20,0,7,7,0
-5,-13,7,15,7,-9,-1,-1
5,10,-29,-4,0,1,4,2
-2,-17,26,5,4,4,4,2
2,-21,-31,0,2,6,5,3
-5,-1,-29,-10,-6,-4,-8,-8
-7,15,21,-2,-1,-7,0,2
-2,-23,41,8,1,5,-3,-1
-5,-1,-31,-9,-1,-7,2,-2
3,30,8,-6,-7,-2,-4,-2
9,18,19,20,4,7,-1,1
-2,-15,-35,-6,-9,-2,-10,0
9,21,19,0,-1,-2,-1,1
1,-28,-21,-10,-4,4,-1,-1
0,-27,7,-9,-15,-3,-11,-10
-1,2,30,1,4,-8,0,-2
-7,-25,-9,7,-2,2,-2,-3
-1,0,-2,-2,-3,-2,-5,-2
-3,-9,22,-3,-3,0,-2,-2
-5,-18,37,1,4,-3,2,-1
-2,-3,-33,-12,-8,-10,-6,-1
-3,-36,-39,-24,-14,-8,-7,-7
3,17,-10,7,1,1,3,3
-2,-29,-27,-27,-4,-5,1,-3
0,0,23,13,11,4,5,2
4,0,30,4,-5,-1,-4,-4
-7,39,3,2,6,4,7,1
0,6,19,-4,-1,0,2,0
2,6,12,-14,-14,-6,-8,-4
1,11,-52,7,-1,6,-2,1
-7,-9,-31,-8,-3,-3,-1,-1
-4,16,40,13,6,0,2,-2
-2,-25,15,5,3,3,2,-1
-4,-5,24,-1,4,6,7,1
-5,-13,-1,-2,-4,-2,-4,-4
-1,7,-47,-8,-8,-11,-13,-3
1,11,12,-9,1,1,0,-1
-2,-34,23,2,0,-3,-1,-1
6,-58,-34,-4,-16,-6,-17,-4
0,28,2,0,2,2,6,-2
-11,-71,-11,-16,-10,-8,-8,-5
6,24,-15,10,6,5,2,5
13,48,-1,0,11,2,9,4
-10,-43,6,4,-10,-5,-6,-5
-1,-2,19,-6,1,0,-2,1
-8,3,14,0,-3,1,-4,-2
-6,-40,-15,-11,2,-6,2,0
10,12,-8,10,7,11,3,2
6,55,28,20,10,1,6,6
-5,-5,26,-8,0,-3,-3,0
-8,-43,59,-2,6,-1,5,-4
-5,-13,-26,-4,-2,-2,1,3
2,7,-45,8,0,1,1,0
-1,33,5,-2,1,-6,0,0
-2,26,-5,5,3,-5,0,0
-4,37,-2,8,3,-1,2,0
-2,-15,27,10,5,-2,5,-1
-15,-75,2,-15,-9,-14,-4,-6
6,31,-16,4,-1,-1,-5,2
2,-14,-50,-13,-6,-3,-3,-2
1,7,40,2,-2,1,0,-2
-9,-57,85,-6,-2,-11,-2,-6
-6,-26,-63,-12,-7,-5,-4,-3
0,40,1,4,-4,1,-3,-5
3,-12,-3,-7,-2,3,-1,4
9,16,-30,9,8,12,7,5
-13,-9,14,-3,-2,-12,-5,-4
3,-18,42,6,5,5,3,3
2,11,4,-8,0,-5,-1,-4
2,29,-1,10,2,-3,-5,-1
3,0,-10,-6,-5,9,1,0
-2,-24,-39,-6,-7,-8,-5,-1
