1 of 41 files violated regex and were excluded
1 of 41 files violated regex and were excluded
Accuracy: 

    iter   |    MAV    |     LS    |    SSC    |     WL    |     ZC    |    MFL    |    MSR    |    WAMP   |    RMS    |    IAV    |   DASDV   |     M0    |     M2    |     M4    |   SPARSI  |    IRF    |    WLF    |     AR    |     CC    |     LD    |   MAVFD   |   MAVSLP  |    MDF    |    MNF    |    MPK    |    SKEW   |    KURT   |    VAR    |    MNP    
========================================================================================================================================================================================================================================================================================================================================================================
     0     |   100.0   |   100.0   |    56.6   |    99.9   |    86.9   |   100.0   |   100.0   |    86.3   |   100.0   |   100.0   |    99.8   |    98.3   |    67.9   |    67.6   |    53.1   |    52.6   |    38.2   |    92.3   |    92.5   |   100.0   |    99.9   |    26.4   |    78.4   |    88.7   |    99.0   |    52.9   |    54.3   |    96.3   |    96.3   
     1     |           |   100.0   |    99.9   |    99.9   |    99.9   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |    99.9   |    99.8   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |    99.9   |   100.0   |   100.0   |    99.9   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   
     2     |           |           |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   
     3     |           |           |           |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   
     4     |           |           |           |           |   100.0   |   100.0   |   100.0   |    99.9   |    99.8   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   
     5     |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   
     6     |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |    99.9   
     7     |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |    99.9   
     8     |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |    99.9   
